day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean
22,0.0,0.0,0,0.0,1.0,0.38,0.0,1.0,0.051,0.0,2.0,0.568,0.0,1.0,0.21,0.0,1.0499999999999545,0.411,0.0,1.0,0.151,1.0,2.0,0.921,0.0,2.0,0.588,0.0,8.0,1.269,0.0,1500.0,466.5,0.0,1.0,0.276,0.0,0.0,0,1.0,1.0,0.72,0.0,1.0,0.311,190.0,250.0,188.08,100.0,100.0,100,1720.0,2420.0,1712.6,8.0,14.0,8.161,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.182,,,,0.0,100.0,36.1,100.0,100.0,72.4,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,0.0,0.042,0.0,1.0,0.07,0.0,0.0,0.017,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.226,0.0,7.0,1.582,,,
23,0.0,0.0,0,0.0,1.0,0.374,0.0,1.0,0.071,1.0,2.0,0.669,0.0,1.0,0.279,0.0,2.0,0.544,0.0,1.0,0.177,1.0,3.0,0.973,1.0,2.0,0.633,0.0,7.0499999999999545,1.043,0.0,1500.0,342,0.0,1.0,0.294,20.0,20.0,14.12,0.0,1.0,0.28,0.0,1.0,0.228,200.0,270.0,202.2,900.0,900.0,900,1670.0,2372.4999999999977,1658.2,9.0,14.0,8.742,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.144,,,,0.0,200.0,45.6,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,0.0,0.021,0.0,0.0,0.049,0.0,0.0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.083,0.0,7.0,0.581,,,
24,0.0,0.0,0,0.0,1.0,0.347,0.0,1.0,0.058,0.0,2.0,0.56,0.0,1.0,0.237,0.0,2.0,0.474,0.0,1.0,0.141,1.0,2.0,0.882,0.0,2.0,0.581,0.0,4.0,0.578,0.0,1500.0,207,0.0,1.0,0.273,0.0,0.0,0,1.0,1.0,0.72,0.0,1.0,0.138,200.0,270.0,202.2,200.0,200.0,200,1670.0,2470.0,1705.05,10.0,16.0,10.39,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.08,,,,0.0,104.99999999999545,37.8,150.0,150.0,109.05,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,0.0,0.01,0.0,0.0,0.037,0.0,0.0,0.011,,,,1500.0,1500.0,1500,0.0,3.0,1.038,0.0,1.0,0.312,0.0,1.0,0.346,0.0,1.0,0.342,,,,,,,0.0,0.0,0.02,0.0,1.0,0.09,0.0,7.0,0.63,,,
25,0.0,0.0,0,0.0,2.0,0.417,0.0,0.0,0.049,1.0,2.0,0.681,0.0,1.0,0.254,0.0,2.0,0.516,0.0,1.0,0.149,1.0,2.0,0.992,1.0,2.0,0.662,0.0,3.0,0.398,0.0,1500.0,130.5,0.0,1.0,0.295,30.0,30.0,21.15,0.0,1.0,0.28,0.0,1.0,0.087,230.0,290.0,223.35,1000.0,1000.0,1000,1620.0,2370.0,1645.35,11.0,16.0,10.707,0.0,0.0,0,800.0,800.0,800,0.0,1.0,0.053,,,,0.0,100.0,40.3,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,0.0,0.01,0.0,0.0,0.021,0.0,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.04,0.0,1.0,0.051,0.0,7.0,0.357,,,
26,0.0,0.0,0,0.0,1.0,0.329,0.0,0.0,0.047,0.0,2.0,0.574,0.0,1.0,0.269,0.0,2.0,0.433,0.0,1.0,0.16,1.0,2.0,0.906,0.0,2.0,0.562,0.0,0.0,0.175,0.0,0.0,67.5,0.0,1.0,0.303,0.0,0.0,0,1.0,1.0,0.72,0.0,0.0,0.045,230.0,290.0,223.35,1800.0,1800.0,1800,1720.0,2520.0,1727.65,11.0,16.0,11.001,0.0,0.0,0,800.0,800.0,800,0.0,0.0,0.027,,,,0.0,200.0,42.9,200.0,200.0,139.4,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,0.0,0.005,0.0,0.0,0.011,0.0,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.042,0.0,0.0,0.294,,,
27,0.0,0.0,0,0.0,2.0,0.417,0.0,1.0,0.067,1.0,2.0,0.651,0.0,1.0,0.277,0.0,2.0,0.472,0.0,1.0,0.165,1.0,2.0,0.977,1.0,2.0,0.694,0.0,0.0,0.119,0.0,0.0,40.5,0.0,1.0,0.304,40.0,40.0,27.84,0.0,1.0,0.28,0.0,0.0,0.027,250.0,330.0,251.19,2600.0,2600.0,2600,1670.0,2470.0,1671.85,11.0,16.0,11.127,0.0,0.0,0,800.0,800.0,800,0.0,0.0,0.016,,,,0.0,200.0,44.2,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,0.0,0.0,0.006,0.0,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.018,0.0,0.0,0.126,,,
28,0.0,0.0,0,0.0,1.0,0.338,0.0,1.0,0.063,0.0,2.0,0.589,0.0,1.0,0.255,0.0,2.0,0.426,0.0,1.0,0.158,1.0,2.0,0.859,0.0,2.0,0.592,0.0,0.0,0.068,0.0,0.0,15,0.0,1.0,0.285,0.0,0.0,0,1.0,1.0,0.72,0.0,0.0,0.01,250.0,330.0,251.19,400.0,400.0,400,1820.0,2670.0,1863.4,11.0,16.0,11.246,0.0,0.0,0,800.0,800.0,800,0.0,0.0,0.005,,,,0.0,200.0,41.3,350.0,350.0,250.25,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,50.0,50.0,35.75,50.0,50.0,35.75,0.0,0.0,0.017,0.0,0.0,0.119,,,
29,0.0,0.0,0,0.0,1.0,0.348,0.0,1.0,0.068,1.0,2.0,0.704,0.0,1.0,0.246,0.0,2.0,0.531,0.0,1.0,0.187,1.0,2.0,0.937,1.0,2.0,0.699,0.0,0.0,0.018,0.0,0.0,4.5,0.0,1.0,0.305,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0.003,280.0,360.0,281.19,1200.0,1200.0,1200,1870.0,2720.0,1876.2,11.0,16.0,11.295,0.0,0.0,0,800.0,800.0,800,0.0,0.0,0.001,,,,0.0,200.0,43.3,100.0,100.0,69.5,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,,,,0.0,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.007,0.0,0.0,0.049,30.0,30.0,30
30,0.0,0.0,0,0.0,1.0,0.306,0.0,1.0,0.053,0.0,2.0,0.608,0.0,1.0,0.216,0.0,2.0,0.438,0.0,1.0,0.153,1.0,2.0,0.897,0.0,2.0,0.609,0.0,0.0,0.003,0.0,0.0,1.5,0.0,1.0,0.278,20.0,20.0,14.44,1.0,1.0,0.72,0.0,0.0,0.001,300.0,370.0,295.63,500.0,500.0,500,1820.0,2622.4999999999977,1813.1,13.0,19.0,12.099,0.0,0.0,0,800.0,800.0,800,0.0,0.0,0.001,,,,0.0,100.0,36.9,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,,,,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,1.05,0.0,1.0,0.323,0.0,1.0,0.35,0.0,1.0,0.327,,,,,,,0.0,0.0,0.26,0.0,0.0,0.002,0.0,0.0,0.014,,,
31,0.0,0.0,0,0.0,1.0,0.393,0.0,1.0,0.063,1.0,2.0,0.707,0.0,1.0,0.261,0.0,2.0,0.505,0.0,1.0,0.14,1.0,2.0,0.999,1.0,2.0,0.652,0.0,0.0,0.008,0.0,0.0,1.5,0.0,1.0,0.274,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0.001,300.0,370.0,295.63,1300.0,1300.0,1300,1820.0,2770.0,1862.1,13.0,19.0,12.099,5.0,5.0,5,800.0,800.0,800,,,,,,,0.0,200.0,40.1,150.0,150.0,108.9,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,,,,0.0,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,0,0.0,1.0,0.329,0.0,1.0,0.074,0.0,2.0,0.583,0.0,1.0,0.251,0.0,2.0,0.427,0.0,1.0,0.149,1.0,2.0,0.894,0.0,2.0,0.573,0.0,0.0,0.001,0.0,0.0,1.5,0.0,1.0,0.294,30.0,30.0,21.18,1.0,1.0,0.72,0.0,0.0,0.001,320.0,400.0,316.81,2100.0,2100.0,2100,1770.0,2670.0,1802.1,13.0,19.0,12.099,10.0,10.0,10,800.0,800.0,800,0.0,0.0,0.001,,,,0.0,200.0,40,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,0,0.0,1.0,0.369,0.0,1.0,0.073,1.0,2.0,0.643,0.0,1.0,0.276,0.0,2.0,0.474,0.0,1.0,0.173,1.0,2.0,0.994,1.0,2.0,0.718,,,,,,,0.0,1.0,0.295,0.0,0.0,0,0.0,1.0,0.28,0.0,0.0,0,320.0,400.0,316.81,2900.0,2900.0,2900,1870.0,2772.4999999999977,1888,13.0,19.0,12.106,15.0,15.0,15,800.0,800.0,800,,,,,,,0.0,200.0,44.9,200.0,200.0,141,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.001,0.0,0.0,0.007,,,
34,0.0,0.0,0,0.0,1.0,0.321,0.0,0.0,0.046,0.0,2.0,0.534,0.0,1.0,0.235,0.0,2.0,0.467,0.0,1.0,0.168,1.0,2.0,0.896,0.0,2.0,0.612,,,,,,,0.0,1.0,0.306,40.0,40.0,27.76,1.0,1.0,0.721,0.0,0.0,0,350.0,430.0,344.57,700.0,700.0,700,1820.0,2720.0,1828.35,13.0,19.0,12.106,20.0,20.0,20,800.0,800.0,800,,,,,,,0.0,100.0,40.3,0.0,0.0,0,,,,100.0,100.0,99.95,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,1.999,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,0,0.0,1.0,0.357,0.0,1.0,0.063,1.0,2.0,0.682,0.0,1.0,0.28,0.0,2.0,0.495,0.0,1.0,0.161,1.0,3.0,1.019,1.0,2.0,0.664,,,,,,,0.0,1.0,0.299,0.0,0.0,0,0.0,1.0,0.279,0.0,0.0,0,350.0,430.0,344.57,0.0,0.0,0,2070.0,2970.0,2067.8,13.0,19.0,12.494,0.0,0.0,0,800.0,800.0,800,,,,,,,0.0,200.0,44.1,350.0,350.0,245.35,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,0.888,0.0,1.0,0.354,0.0,1.0,0.296,0.0,1.0,0.35,50.0,50.0,50,50.0,50.0,35.05,50.0,50.0,35.55,,,,,,,,,
36,0.0,0.0,0,0.0,1.0,0.357,0.0,1.0,0.078,0.0,2.0,0.574,0.0,1.0,0.23,0.0,2.0,0.435,0.0,1.0,0.139,1.0,2.0,0.881,0.0,2.0,0.585,,,,,,,0.0,1.0,0.308,0.0,0.0,0,1.0,1.0,0.721,0.0,0.0,0,350.0,430.0,344.57,800.0,800.0,800,2070.0,3020.0,2073.9,13.0,19.0,12.494,5.0,5.0,5,800.0,800.0,800,,,,,,,0.0,100.0,36.9,100.0,100.0,69.2,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,0.0,0,0.0,1.0,0.376,0.0,1.0,0.09,1.0,2.0,0.704,0.0,1.0,0.241,0.0,2.0,0.485,0.0,1.0,0.161,1.0,2.0,0.975,1.0,2.0,0.689,,,,,,,0.0,1.0,0.307,20.0,20.0,13.86,0.0,1.0,0.279,0.0,0.0,0,360.0,440.0,358.43,1600.0,1600.0,1600,2020.0,2970.0,2014.1,13.0,19.0,12.494,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,40.2,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,0.0,0,0.0,1.0,0.31,0.0,0.0,0.048,0.0,2.0,0.594,0.0,1.0,0.265,0.0,2.0,0.438,0.0,1.0,0.162,1.0,2.0,0.889,0.0,2.0,0.573,,,,,,,0.0,1.0,0.31,0.0,0.0,0,1.0,1.0,0.721,0.0,0.0,0,360.0,440.0,358.43,2400.0,2400.0,2400,2070.0,3070.0,2060.3,13.0,19.0,12.494,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,42.7,150.0,150.0,103.5,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,0.0,0,0.0,1.0,0.345,0.0,1.0,0.072,1.0,2.0,0.709,0.0,1.0,0.27,0.0,2.0,0.481,0.0,1.0,0.166,1.0,2.0,0.999,1.0,2.0,0.679,,,,,,,0.0,1.0,0.302,30.0,30.0,20.94,0.0,1.0,0.279,0.0,0.0,0,380.0,470.0,379.37,200.0,200.0,200,2020.0,2972.4999999999977,2003.9,13.0,19.0,12.494,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,43.6,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0,0.0,1.0,0.338,0.0,1.0,0.064,0.0,2.0,0.595,0.0,1.0,0.222,0.0,2.0,0.435,0.0,1.0,0.141,1.0,2.0,0.89,0.0,2.0,0.594,,,,,,,0.0,1.0,0.287,0.0,0.0,0,1.0,1.0,0.721,0.0,0.0,0,380.0,470.0,379.37,1000.0,1000.0,1000,2070.0,3070.0,2082.8,13.0,19.0,12.494,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,100.0,36.3,200.0,200.0,142.6,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,0.0,0,0.0,2.0,0.39,0.0,1.0,0.074,1.0,2.0,0.696,0.0,1.0,0.226,0.0,2.0,0.481,0.0,1.0,0.166,1.0,3.0,1.034,1.0,2.0,0.654,,,,,,,0.0,1.0,0.305,40.0,40.0,27.8,0.0,1.0,0.279,0.0,0.0,0,410.0,500.0,407.17,300.0,300.0,300,2020.0,3020.0,2022,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,39.2,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,1.104,0.0,1.0,0.327,0.0,1.0,0.368,0.0,1.0,0.305,,,,,,,0.0,0.9999999999990905,1,,,,,,,,,
42,0.0,0.0,0,0.0,1.0,0.353,0.0,1.0,0.053,0.0,2.0,0.564,0.0,1.0,0.231,0.0,2.0,0.445,0.0,1.0,0.114,1.0,2.0,0.907,0.0,2.0,0.612,,,,,,,0.0,1.0,0.29,0.0,0.0,0,1.0,1.0,0.721,0.0,0.0,0,410.0,500.0,407.17,1100.0,1100.0,1100,2220.0,3270.0,2205,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,100.0,34.5,350.0,350.0,248.5,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,35.5,50.0,50.0,35.5,,,,,,,,,
43,0.0,0.0,0,0.0,1.0,0.373,0.0,1.0,0.06,1.0,2.0,0.672,0.0,1.0,0.273,0.0,2.0,0.503,0.0,1.0,0.168,1.0,2.0499999999999545,1.013,1.0,2.0,0.659,,,,,,,0.0,1.0,0.252,0.0,0.0,0,0.0,1.0,0.279,0.0,0.0,0,410.0,500.0,407.17,1900.0,1900.0,1900,2220.0,3270.0,2223.9,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,44.1,100.0,100.0,74.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,0.0,0,0.0,1.0,0.315,0.0,0.0,0.046,0.0,2.0,0.603,0.0,1.0,0.235,0.0,2.0,0.435,0.0,1.0,0.137,1.0,2.0,0.893,0.0,2.0,0.615,,,,,,,0.0,1.0,0.269,20.0,20.0,14.62,1.0,1.0,0.721,0.0,0.0,0,420.0,520.0,421.79,2700.0,2700.0,2700,2170.0,3220.0,2161.1,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,37.2,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,0.0,0,0.0,2.0,0.396,0.0,1.0,0.073,1.0,2.0,0.658,0.0,1.0,0.318,0.0,2.0,0.486,0.0,1.0,0.165,1.0,2.0,0.976,1.0,2.0,0.649,,,,,,,0.0,1.0,0.305,0.0,0.0,0,0.0,1.0,0.279,0.0,0.0,0,420.0,520.0,421.79,500.0,500.0,500,2220.0,3272.4999999999977,2213.65,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,48.3,150.0,150.0,104.25,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,0.0,0,0.0,1.0,0.32,0.0,1.0,0.062,0.0,2.0,0.612,0.0,1.0,0.229,0.0,2.0,0.412,0.0,1.0,0.159,1.0,2.0,0.86,0.0,2.0,0.624,,,,,,,0.0,1.0,0.282,30.0,30.0,21.54,1.0,1.0,0.721,0.0,0.0,0,440.0,540.0,443.33,1300.0,1300.0,1300,2170.0,3220.0,2152.55,13.0,19.0,12.598,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,38.8,0.0,0.0,0,,,,100.0,100.0,99.9,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,0.0,0,0.0,1.0499999999999545,0.377,0.0,1.0,0.071,1.0,2.0,0.642,0.0,1.0,0.258,0.0,2.0,0.496,0.0,1.0,0.157,1.0,3.0,1.014,1.0,2.0,0.706,,,,,,,0.0,1.0,0.311,0.0,0.0,0,0.0,1.0,0.279,0.0,0.0,0,440.0,540.0,443.33,600.0,600.0,600,2220.0,3320.0,2231.85,13.0,19.0,12.306,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,200.0,41.5,200.0,200.0,137.8,,,,100.0,100.0,100,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,8.0,8.0,7.442,,,,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,0.948,0.0,1.0,0.347,0.0,1.0,0.316,0.0,1.0,0.337,,,,,,,0.0,20.0,1.24,,,,,,,,,
48,0.0,0.0,0,0.0,1.0,0.356,0.0,1.0,0.061,0.0,2.0,0.579,0.0,1.0,0.229,0.0,2.0,0.441,0.0,1.0,0.141,1.0,2.0,0.901,0.0,2.0,0.57,,,,,,,0.0,1.0,0.277,40.0,40.0,28.92,1.0,1.0,0.721,0.0,0.0,0,480.0,570.0,472.25,1400.0,1400.0,1400,2170.0,3270.0,2168.95,13.0,19.0,12.306,10.0,10.0,10,800.0,800.0,800,,,,,,,0.0,100.0,37,0.0,0.0,0,,,,100.0,100.0,99.9,24.0,24.0,24,,,,1500.0,1500.0,1500,2.0,2.0,1.998,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,6.0,8.0,6.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
